Rank,Taxon,Taxonpath,Avg ab,Remove_unclass,Remove_all,Comment
Mollusca,phylum,Opisthokonta;Metazoa (Animalia);Mollusca,0.41%,FALSE,FALSE,
Bivalvia,class,Opisthokonta;Metazoa (Animalia);Mollusca;Bivalvia,0.20%,FALSE,FALSE,
Arcoida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Bivalvia;Arcoida,0.00%,FALSE,FALSE,
Lucinoida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Bivalvia;Lucinoida,0.10%,FALSE,FALSE,
Myoida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Bivalvia;Myoida,0.00%,FALSE,FALSE,
Mytiloida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Bivalvia;Mytiloida,0.00%,FALSE,FALSE,
Nuculanoida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Bivalvia;Nuculanoida,0.01%,FALSE,FALSE,
Pectinoida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Bivalvia;Pectinoida,0.00%,FALSE,FALSE,
Pholadomyoida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Bivalvia;Pholadomyoida,0.00%,FALSE,FALSE,
Veneroida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Bivalvia;Veneroida,0.04%,FALSE,FALSE,
Veneroida (Heteroconchia),order,Opisthokonta;Metazoa (Animalia);Mollusca;Bivalvia;Veneroida (Heteroconchia),0.04%,FALSE,FALSE,
Caudofoveata,class,Opisthokonta;Metazoa (Animalia);Mollusca;Caudofoveata,0.00%,FALSE,FALSE,
Chaetodermatida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Caudofoveata;Chaetodermatida,0.00%,FALSE,FALSE,
Gastropoda,class,Opisthokonta;Metazoa (Animalia);Mollusca;Gastropoda,0.19%,FALSE,FALSE,
Caenogastropoda,order,Opisthokonta;Metazoa (Animalia);Mollusca;Gastropoda;Caenogastropoda,0.06%,FALSE,FALSE,
Heterobranchia,order,Opisthokonta;Metazoa (Animalia);Mollusca;Gastropoda;Heterobranchia,0.12%,FALSE,FALSE,
Polyplacophora,class,Opisthokonta;Metazoa (Animalia);Mollusca;Polyplacophora,0.00%,FALSE,FALSE,
Neoloricata,order,Opisthokonta;Metazoa (Animalia);Mollusca;Polyplacophora;Neoloricata,0.00%,FALSE,FALSE,
Protobranchia,class,Opisthokonta;Metazoa (Animalia);Mollusca;Protobranchia,0.01%,FALSE,FALSE,
Nuculoida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Protobranchia;Nuculoida,0.01%,FALSE,FALSE,
Scaphopoda,class,Opisthokonta;Metazoa (Animalia);Mollusca;Scaphopoda,0.01%,FALSE,FALSE,
Dentaliida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Scaphopoda;Dentaliida,0.00%,FALSE,FALSE,
Gadilida,order,Opisthokonta;Metazoa (Animalia);Mollusca;Scaphopoda;Gadilida,0.01%,FALSE,FALSE,
Nematoda,phylum,Opisthokonta;Metazoa (Animalia);Nematoda,12.18%,FALSE,FALSE,
Chromadorea,class,Opisthokonta;Metazoa (Animalia);Nematoda;Chromadorea,7.92%,FALSE,FALSE,
Araeolaimida,order,Opisthokonta;Metazoa (Animalia);Nematoda;Chromadorea;Araeolaimida,0.93%,FALSE,FALSE,
Ascaridida,order,Opisthokonta;Metazoa (Animalia);Nematoda;Chromadorea;Ascaridida,0.00%,FALSE,FALSE,
Chromadorida,order,Opisthokonta;Metazoa (Animalia);Nematoda;Chromadorea;Chromadorida,2.78%,FALSE,FALSE,
Desmodorida,order,Opisthokonta;Metazoa (Animalia);Nematoda;Chromadorea;Desmodorida,1.22%,FALSE,FALSE,
Desmoscolecida,order,Opisthokonta;Metazoa (Animalia);Nematoda;Chromadorea;Desmoscolecida,0.19%,FALSE,FALSE,
Monhysterida,order,Opisthokonta;Metazoa (Animalia);Nematoda;Chromadorea;Monhysterida,2.22%,FALSE,FALSE,
Spirurida,order,Opisthokonta;Metazoa (Animalia);Nematoda;Chromadorea;Spirurida,0.00%,FALSE,FALSE,
Enoplea,class,Opisthokonta;Metazoa (Animalia);Nematoda;Enoplea,3.94%,FALSE,FALSE,
Enoplida,order,Opisthokonta;Metazoa (Animalia);Nematoda;Enoplea;Enoplida,2.33%,FALSE,FALSE,
Mermithida,order,Opisthokonta;Metazoa (Animalia);Nematoda;Enoplea;Mermithida,0.00%,FALSE,FALSE,
Triplonchida,order,Opisthokonta;Metazoa (Animalia);Nematoda;Enoplea;Triplonchida,0.28%,FALSE,FALSE,
Nemertea,phylum,Opisthokonta;Metazoa (Animalia);Nemertea,0.93%,FALSE,FALSE,
Enopla,class,Opisthokonta;Metazoa (Animalia);Nemertea;Enopla,0.24%,FALSE,FALSE,
Hoplonemertea,order,Opisthokonta;Metazoa (Animalia);Nemertea;Enopla;Hoplonemertea,0.00%,FALSE,FALSE,
Monostilifera,order,Opisthokonta;Metazoa (Animalia);Nemertea;Enopla;Monostilifera,0.24%,FALSE,FALSE,
Heteronemertea,class,Opisthokonta;Metazoa (Animalia);Nemertea;Heteronemertea,0.31%,FALSE,FALSE,
Palaeonemertea,class,Opisthokonta;Metazoa (Animalia);Nemertea;Palaeonemertea,0.38%,FALSE,FALSE,
Placozoa,phylum,Opisthokonta;Metazoa (Animalia);Placozoa,0.00%,FALSE,FALSE,
Platyhelminthes,phylum,Opisthokonta;Metazoa (Animalia);Platyhelminthes,1.03%,FALSE,FALSE,
Catenulida,class,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Catenulida,0.00%,FALSE,FALSE,
Catenulidae order incertae sedis,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Catenulida;Catenulidae order incertae sedis,0.00%,FALSE,FALSE,
Catenulidae,family,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Catenulida;Catenulidae order incertae sedis;Catenulidae,0.00%,FALSE,FALSE,
Cestoda,class,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Cestoda,0.00%,FALSE,FALSE,
Tetraphyllidea,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Cestoda;Tetraphyllidea,0.00%,FALSE,FALSE,
Trypanorhyncha,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Cestoda;Trypanorhyncha,0.00%,FALSE,FALSE,
Haplopharyngida class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Haplopharyngida class incertae sedis,0.01%,FALSE,FALSE,
Haplopharyngida,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Haplopharyngida class incertae sedis;Haplopharyngida,0.01%,FALSE,FALSE,
Lecithoepitheliata class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Lecithoepitheliata class incertae sedis,0.00%,FALSE,FALSE,
Lecithoepitheliata,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Lecithoepitheliata class incertae sedis;Lecithoepitheliata,0.00%,FALSE,FALSE,
Macrostomida,class,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Macrostomida,0.19%,FALSE,FALSE,
Monogenea,class,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Monogenea,0.00%,TRUE,TRUE,
Diclidophoridae order incertae sedis,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Monogenea;Diclidophoridae order incertae sedis,0.00%,FALSE,FALSE,
Diclidophoridae,family,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Monogenea;Diclidophoridae order incertae sedis;Diclidophoridae,0.00%,FALSE,FALSE,
Prolecithophora class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Prolecithophora class incertae sedis,0.01%,FALSE,FALSE,
Prolecithophora,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Prolecithophora class incertae sedis;Prolecithophora,0.00%,FALSE,FALSE,
Rhabdocoela class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Rhabdocoela class incertae sedis,0.47%,FALSE,FALSE,
Rhabdocoela,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Rhabdocoela class incertae sedis;Rhabdocoela,0.41%,FALSE,FALSE,
Dalyellioida,family,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Rhabdocoela class incertae sedis;Rhabdocoela;Dalyellioida,0.01%,FALSE,FALSE,
Kalyptorhynchia,family,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Rhabdocoela class incertae sedis;Rhabdocoela;Kalyptorhynchia,0.24%,FALSE,FALSE,
Neodalyellida,family,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Rhabdocoela class incertae sedis;Rhabdocoela;Neodalyellida,0.06%,FALSE,FALSE,
Typhloplanoida,family,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Rhabdocoela class incertae sedis;Rhabdocoela;Typhloplanoida,0.00%,FALSE,FALSE,
Seriata,class,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Seriata,0.29%,FALSE,FALSE,
Proseriata,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Seriata;Proseriata,0.17%,FALSE,FALSE,
Trematoda,class,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Trematoda,0.00%,FALSE,FALSE,
Azygiida,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Trematoda;Azygiida,0.00%,FALSE,FALSE,
Plagiorchiida,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Trematoda;Plagiorchiida,0.00%,FALSE,FALSE,
Prosorhynchoides order incertae sedis,order,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Trematoda;Prosorhynchoides order incertae sedis,0.00%,FALSE,FALSE,
Prosorhynchoides family incertae sedis,family,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Trematoda;Prosorhynchoides order incertae sedis;Prosorhynchoides family incertae sedis,0.00%,FALSE,FALSE,
Prosorhynchoides,genus,Opisthokonta;Metazoa (Animalia);Platyhelminthes;Trematoda;Prosorhynchoides order incertae sedis;Prosorhynchoides family incertae sedis;Prosorhynchoides,0.00%,FALSE,FALSE,
Porifera,phylum,Opisthokonta;Metazoa (Animalia);Porifera,0.22%,FALSE,FALSE,
Priapulida,phylum,Opisthokonta;Metazoa (Animalia);Priapulida,0.00%,FALSE,FALSE,
Rhopaluridae phylum incertae sedis,phylum,Opisthokonta;Metazoa (Animalia);Rhopaluridae phylum incertae sedis,0.00%,FALSE,FALSE,
Rhopaluridae class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Rhopaluridae phylum incertae sedis;Rhopaluridae class incertae sedis,0.00%,FALSE,FALSE,
Rhopaluridae order incertae sedis,order,Opisthokonta;Metazoa (Animalia);Rhopaluridae phylum incertae sedis;Rhopaluridae class incertae sedis;Rhopaluridae order incertae sedis,0.00%,FALSE,FALSE,
Rhopaluridae,family,Opisthokonta;Metazoa (Animalia);Rhopaluridae phylum incertae sedis;Rhopaluridae class incertae sedis;Rhopaluridae order incertae sedis;Rhopaluridae,0.00%,FALSE,FALSE,
Rotifera,phylum,Opisthokonta;Metazoa (Animalia);Rotifera,0.00%,FALSE,FALSE,
Monogononta,class,Opisthokonta;Metazoa (Animalia);Rotifera;Monogononta,0.00%,FALSE,FALSE,
Flosculariacea,order,Opisthokonta;Metazoa (Animalia);Rotifera;Monogononta;Flosculariacea,0.00%,FALSE,FALSE,
Ploimida,order,Opisthokonta;Metazoa (Animalia);Rotifera;Monogononta;Ploimida,0.00%,FALSE,FALSE,
Tardigrada,phylum,Opisthokonta;Metazoa (Animalia);Tardigrada,0.01%,FALSE,FALSE,
Heterotardigrada,class,Opisthokonta;Metazoa (Animalia);Tardigrada;Heterotardigrada,0.01%,FALSE,FALSE,
Xenacoelomorpha,phylum,Opisthokonta;Metazoa (Animalia);Xenacoelomorpha,0.32%,FALSE,FALSE,
Acoela,class,Opisthokonta;Metazoa (Animalia);Xenacoelomorpha;Acoela,0.31%,FALSE,FALSE,
Nemertodermatida,class,Opisthokonta;Metazoa (Animalia);Xenacoelomorpha;Nemertodermatida,0.00%,FALSE,FALSE,
Nemertodermatidae order incertae sedis,order,Opisthokonta;Metazoa (Animalia);Xenacoelomorpha;Nemertodermatida;Nemertodermatidae order incertae sedis,0.00%,FALSE,FALSE,
Nemertodermatidae,family,Opisthokonta;Metazoa (Animalia);Xenacoelomorpha;Nemertodermatida;Nemertodermatidae order incertae sedis;Nemertodermatidae,0.00%,FALSE,FALSE,
Picozoa superkingdom incertae sedis,superkingdom,Picozoa superkingdom incertae sedis,0.00%,TRUE,TRUE,
root,root,root,100.00%,TRUE,FALSE,
SA1-3C06,superkingdom,SA1-3C06,0.00%,FALSE,FALSE,
SAR,superkingdom,SAR,62.32%,TRUE,FALSE,
Alveolata,kingdom,SAR;Alveolata,13.57%,FALSE,FALSE,
Alveolata incertae sedis,phylum,SAR;Alveolata;Alveolata incertae sedis,0.00%,FALSE,FALSE,
Colponema class incertae sedis,class,SAR;Alveolata;Alveolata incertae sedis;Colponema class incertae sedis,0.00%,FALSE,FALSE,
Colponema order incertae sedis,order,SAR;Alveolata;Alveolata incertae sedis;Colponema class incertae sedis;Colponema order incertae sedis,0.00%,FALSE,FALSE,
Colponema family incertae sedis,family,SAR;Alveolata;Alveolata incertae sedis;Colponema class incertae sedis;Colponema order incertae sedis;Colponema family incertae sedis,0.00%,FALSE,FALSE,
Colponema,genus,SAR;Alveolata;Alveolata incertae sedis;Colponema class incertae sedis;Colponema order incertae sedis;Colponema family incertae sedis;Colponema,0.00%,FALSE,FALSE,
Colponema vietnamica,species,SAR;Alveolata;Alveolata incertae sedis;Colponema class incertae sedis;Colponema order incertae sedis;Colponema family incertae sedis;Colponema;Colponema vietnamica,0.00%,FALSE,FALSE,
Apicomplexa,phylum,SAR;Alveolata;Apicomplexa,0.40%,FALSE,FALSE,
BOLA914,phylum,SAR;Alveolata;BOLA914,0.00%,FALSE,FALSE,
Chromerida,phylum,SAR;Alveolata;Chromerida,0.00%,FALSE,FALSE,
Ciliophora,phylum,SAR;Alveolata;Ciliophora,2.63%,FALSE,FALSE,
Colpodellida,phylum,SAR;Alveolata;Colpodellida,0.00%,FALSE,FALSE,
Dinoflagellata,phylum,SAR;Alveolata;Dinoflagellata,4.57%,TRUE,FALSE,
Dinoflagellata incertae sedis,class,SAR;Alveolata;Dinoflagellata;Dinoflagellata incertae sedis,0.23%,FALSE,FALSE,
Blastodinium order incertae sedis,order,SAR;Alveolata;Dinoflagellata;Dinoflagellata incertae sedis;Blastodinium order incertae sedis,0.00%,TRUE,TRUE,
Dinophyceae,class,SAR;Alveolata;Dinoflagellata;Dinophyceae,4.11%,TRUE,FALSE,
B7,order,SAR;Alveolata;Dinoflagellata;Dinophyceae;B7,0.00%,FALSE,FALSE,
D244,order,SAR;Alveolata;Dinoflagellata;Dinophyceae;D244,0.05%,FALSE,FALSE,
Dinophyceae incertae sedis,order,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae incertae sedis,0.00%,FALSE,FALSE,
Azadinium family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae incertae sedis;Azadinium family incertae sedis,0.00%,FALSE,FALSE,
Azadinium,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae incertae sedis;Azadinium family incertae sedis;Azadinium,0.00%,FALSE,FALSE,
Halostylodinium family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae incertae sedis;Halostylodinium family incertae sedis,0.00%,FALSE,FALSE,
Halostylodinium,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae incertae sedis;Halostylodinium family incertae sedis;Halostylodinium,0.00%,FALSE,FALSE,
Madanidinium family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae incertae sedis;Madanidinium family incertae sedis,0.00%,FALSE,FALSE,
Sabulodinium family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae incertae sedis;Sabulodinium family incertae sedis,0.00%,FALSE,FALSE,
Sabulodinium,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae incertae sedis;Sabulodinium family incertae sedis;Sabulodinium,0.00%,FALSE,FALSE,
Sabulodinium undulatum,species,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae incertae sedis;Sabulodinium family incertae sedis;Sabulodinium;Sabulodinium undulatum,0.00%,FALSE,FALSE,
Dinophysiales,order,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophysiales,0.16%,FALSE,FALSE,
Sinophysis family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophysiales;Sinophysis family incertae sedis,0.15%,FALSE,FALSE,
Sinophysis,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophysiales;Sinophysis family incertae sedis;Sinophysis,0.04%,FALSE,FALSE,
Sinophysis ebriola,species,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophysiales;Sinophysis family incertae sedis;Sinophysis;Sinophysis ebriola,0.00%,FALSE,FALSE,
Sinophysis stenosoma,species,SAR;Alveolata;Dinoflagellata;Dinophyceae;Dinophysiales;Sinophysis family incertae sedis;Sinophysis;Sinophysis stenosoma,0.00%,FALSE,FALSE,
Gonyaulacales,order,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales,0.65%,TRUE,FALSE,
Alexandrium family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Alexandrium family incertae sedis,0.32%,TRUE,TRUE,
Fragilidium family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Fragilidium family incertae sedis,0.00%,TRUE,TRUE,Rhodes & Smith 2018
Gonyaulax family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulax family incertae sedis,0.00%,TRUE,TRUE,Rhodes & Smith 2018
Neoceratium family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Neoceratium family incertae sedis,0.00%,FALSE,FALSE,
Neoceratium,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Neoceratium family incertae sedis;Neoceratium,0.00%,FALSE,FALSE,
Protoceratium family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Protoceratium family incertae sedis,0.05%,TRUE,TRUE,
Pyrocystis family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Pyrocystis family incertae sedis,0.00%,TRUE,TRUE,
Gymnodiniphycidae,order,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae,1.50%,TRUE,FALSE,
Amphidinium family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Amphidinium family incertae sedis,0.02%,TRUE,TRUE,
Gymnodiniphycidae incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodiniphycidae incertae sedis,0.00%,FALSE,FALSE,
Akashiwo,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodiniphycidae incertae sedis;Akashiwo,0.00%,TRUE,TRUE,
Apicoporus glaber,species,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodiniphycidae incertae sedis;Apicoporus;Apicoporus glaber,0.00%,TRUE,TRUE,
Gymnodinium clade,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium clade,0.15%,TRUE,TRUE,
Gyrodinium family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gyrodinium family incertae sedis,0.00%,FALSE,FALSE,
Gyrodinium,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gyrodinium family incertae sedis;Gyrodinium,0.00%,TRUE,TRUE,
Kareniaceae,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Kareniaceae,0.00%,TRUE,TRUE,
Moestrupia family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Moestrupia family incertae sedis,0.00%,TRUE,TRUE,
SCM27C9,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;SCM27C9,0.00%,FALSE,FALSE,
Suessiaceae,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Suessiaceae,1.05%,FALSE,FALSE,
Biecheleria,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Suessiaceae;Biecheleria,0.74%,TRUE,TRUE,
Pelagodinium,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Suessiaceae;Pelagodinium,0.08%,TRUE,TRUE,
Protodinium,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Suessiaceae;Protodinium,0.04%,FALSE,FALSE,
Symbiodinium,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Suessiaceae;Symbiodinium,0.00%,FALSE,FALSE,parasitic
Peridiniales,order,SAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales,0.35%,TRUE,TRUE,
Podolampadaceae order incertae sedis,order,SAR;Alveolata;Dinoflagellata;Dinophyceae;Podolampadaceae order incertae sedis,0.00%,FALSE,FALSE,
Podolampadaceae,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Podolampadaceae order incertae sedis;Podolampadaceae,0.00%,FALSE,FALSE,
Prorocentrales,order,SAR;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales,0.00%,FALSE,FALSE,
Exuviaella family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Exuviaella family incertae sedis,0.00%,FALSE,FALSE,
Exuviaella,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Exuviaella family incertae sedis;Exuviaella,0.00%,FALSE,FALSE,
Prorocentrum family incertae sedis,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentrum family incertae sedis,0.00%,FALSE,FALSE,
Prorocentrum,genus,SAR;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentrum family incertae sedis;Prorocentrum,0.00%,FALSE,FALSE,
SL163A10,order,SAR;Alveolata;Dinoflagellata;Dinophyceae;SL163A10,0.00%,FALSE,FALSE,
Thoracosphaeraceae order incertae sedis,order,SAR;Alveolata;Dinoflagellata;Dinophyceae;Thoracosphaeraceae order incertae sedis,0.49%,FALSE,FALSE,
Thoracosphaeraceae,family,SAR;Alveolata;Dinoflagellata;Dinophyceae;Thoracosphaeraceae order incertae sedis;Thoracosphaeraceae,0.49%,TRUE,TRUE,
Noctilucales class incertae sedis,class,SAR;Alveolata;Dinoflagellata;Noctilucales class incertae sedis,0.00%,TRUE,TRUE,
SCM28C1,class,SAR;Alveolata;Dinoflagellata;SCM28C1,0.00%,FALSE,FALSE,
SCM28C5,class,SAR;Alveolata;Dinoflagellata;SCM28C5,0.00%,FALSE,FALSE,
OLI11255,phylum,SAR;Alveolata;OLI11255,0.00%,FALSE,FALSE,
Perkinsidae phylum incertae sedis,phylum,SAR;Alveolata;Perkinsidae phylum incertae sedis,0.17%,TRUE,TRUE,
SCM37C52,phylum,SAR;Alveolata;SCM37C52,0.00%,FALSE,FALSE,
SGUH942,phylum,SAR;Alveolata;SGUH942,0.00%,FALSE,FALSE,
Syndiniales class incertae sedis,phylum,SAR;Alveolata;Syndiniales class incertae sedis,0.81%,FALSE,FALSE,
Syndiniales,class,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales,0.80%,FALSE,FALSE,
Amoebophrya order incertae sedis,order,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Amoebophrya order incertae sedis,0.01%,FALSE,FALSE,
Amoebophrya family incertae sedis,family,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Amoebophrya order incertae sedis;Amoebophrya family incertae sedis,0.01%,FALSE,FALSE,
Amoebophrya,genus,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Amoebophrya order incertae sedis;Amoebophrya family incertae sedis;Amoebophrya,0.01%,FALSE,FALSE,
Duboscquella order incertae sedis,order,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Duboscquella order incertae sedis,0.01%,FALSE,FALSE,
Duboscquella family incertae sedis,family,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Duboscquella order incertae sedis;Duboscquella family incertae sedis,0.01%,FALSE,FALSE,
Duboscquella,genus,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Duboscquella order incertae sedis;Duboscquella family incertae sedis;Duboscquella,0.01%,FALSE,FALSE,
Hematodinium order incertae sedis,order,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Hematodinium order incertae sedis,0.00%,FALSE,FALSE,
Hematodinium family incertae sedis,family,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Hematodinium order incertae sedis;Hematodinium family incertae sedis,0.00%,FALSE,FALSE,
Hematodinium,genus,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Hematodinium order incertae sedis;Hematodinium family incertae sedis;Hematodinium,0.00%,FALSE,FALSE,
Syndiniales Group I,order,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Syndiniales Group I,0.51%,FALSE,FALSE,
Syndiniales Group II,order,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Syndiniales Group II,0.16%,FALSE,FALSE,
Syndiniales Group III,order,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Syndiniales Group III,0.00%,FALSE,FALSE,
Syndiniales Group V,order,SAR;Alveolata;Syndiniales class incertae sedis;Syndiniales;Syndiniales Group V,0.00%,FALSE,FALSE,
Rhizaria,kingdom,SAR;Rhizaria,21.69%,FALSE,FALSE,
Cercozoa,phylum,SAR;Rhizaria;Cercozoa,21.36%,FALSE,FALSE,
7-2.3,class,SAR;Rhizaria;Cercozoa;7-2.3,0.00%,FALSE,FALSE,
7-5.4,class,SAR;Rhizaria;Cercozoa;7-5.4,0.03%,FALSE,FALSE,
Basal Group T,class,SAR;Rhizaria;Cercozoa;Basal Group T,0.00%,FALSE,FALSE,
CCW10,class,SAR;Rhizaria;Cercozoa;CCW10,2.07%,FALSE,FALSE,
Cercomonadidae class incertae sedis,class,SAR;Rhizaria;Cercozoa;Cercomonadidae class incertae sedis,0.05%,FALSE,FALSE,
Cercomonadidae order incertae sedis,order,SAR;Rhizaria;Cercozoa;Cercomonadidae class incertae sedis;Cercomonadidae order incertae sedis,0.05%,FALSE,FALSE,
Cercomonadidae,family,SAR;Rhizaria;Cercozoa;Cercomonadidae class incertae sedis;Cercomonadidae order incertae sedis;Cercomonadidae,0.05%,FALSE,FALSE,
Cercomonas,genus,SAR;Rhizaria;Cercozoa;Cercomonadidae class incertae sedis;Cercomonadidae order incertae sedis;Cercomonadidae;Cercomonas,0.05%,FALSE,FALSE,
Eocercomonas,genus,SAR;Rhizaria;Cercozoa;Cercomonadidae class incertae sedis;Cercomonadidae order incertae sedis;Cercomonadidae;Eocercomonas,0.00%,FALSE,FALSE,
Cercozoa incertae sedis,class,SAR;Rhizaria;Cercozoa;Cercozoa incertae sedis,0.00%,FALSE,FALSE,
Chlorarachniophyta,class,SAR;Rhizaria;Cercozoa;Chlorarachniophyta,0.03%,FALSE,FALSE,
Minorisa order incertae sedis,order,SAR;Rhizaria;Cercozoa;Chlorarachniophyta;Minorisa order incertae sedis,0.00%,FALSE,FALSE,
